Year,National,Jurisdiction,Count
2009,19,New South Wales,9
2010,13,New South Wales,3
2011,21,New South Wales,5
2012,12,New South Wales,2
2013,22,New South Wales,3
2014,13,New South Wales,2
2015,21,New South Wales,4
2016,8,New South Wales,2
2017,12,New South Wales,5
2018,16,New South Wales,3
2019,19,New South Wales,4
2020,7,New South Wales,3
2021,25,New South Wales,7
2009,19,Victoria,2
2010,13,Victoria,3
2011,21,Victoria,3
2012,12,Victoria,5
2013,22,Victoria,5
2014,13,Victoria,1
2015,21,Victoria,4
2016,8,Victoria,1
2017,12,Victoria,3
2018,16,Victoria,1
2019,19,Victoria,3
2020,7,Victoria,0
2021,25,Victoria,6
2009,19,Queensland,5
2010,13,Queensland,2
2011,21,Queensland,6
2012,12,Queensland,1
2013,22,Queensland,4
2014,13,Queensland,3
2015,21,Queensland,8
2016,8,Queensland,0
2017,12,Queensland,2
2018,16,Queensland,4
2019,19,Queensland,4
2020,7,Queensland,2
2021,25,Queensland,5
2009,19,South Australia,0
2010,13,South Australia,3
2011,21,South Australia,1
2012,12,South Australia,1
2013,22,South Australia,5
2014,13,South Australia,0
2015,21,South Australia,1
2016,8,South Australia,1
2017,12,South Australia,0
2018,16,South Australia,1
2019,19,South Australia,3
2020,7,South Australia,1
2021,25,South Australia,2
2009,19,Western Australia,1
2010,13,Western Australia,1
2011,21,Western Australia,5
2012,12,Western Australia,0
2013,22,Western Australia,3
2014,13,Western Australia,6
2015,21,Western Australia,3
2016,8,Western Australia,3
2017,12,Western Australia,1
2018,16,Western Australia,2
2019,19,Western Australia,2
2020,7,Western Australia,1
2021,25,Western Australia,3
2009,19,Tasmania,1
2010,13,Tasmania,0
2011,21,Tasmania,1
2012,12,Tasmania,0
2013,22,Tasmania,2
2014,13,Tasmania,1
2015,21,Tasmania,0
2016,8,Tasmania,0
2017,12,Tasmania,0
2018,16,Tasmania,1
2019,19,Tasmania,2
2020,7,Tasmania,0
2021,25,Tasmania,1
2009,19,Northern Territory,0
2010,13,Northern Territory,0
2011,21,Northern Territory,0
2012,12,Northern Territory,3
2013,22,Northern Territory,0
2014,13,Northern Territory,0
2015,21,Northern Territory,1
2016,8,Northern Territory,1
2017,12,Northern Territory,1
2018,16,Northern Territory,4
2019,19,Northern Territory,1
2020,7,Northern Territory,0
2021,25,Northern Territory,1
2009,19,Australian Capital Territory,1
2010,13,Australian Capital Territory,1
2011,21,Australian Capital Territory,0
2012,12,Australian Capital Territory,0
2013,22,Australian Capital Territory,0
2014,13,Australian Capital Territory,0
2015,21,Australian Capital Territory,0
2016,8,Australian Capital Territory,0
2017,12,Australian Capital Territory,0
2018,16,Australian Capital Territory,0
2019,19,Australian Capital Territory,0
2020,7,Australian Capital Territory,0
2021,25,Australian Capital Territory,0